### ESTACION ####### TMAX ####### TMIN ####### FECHA ### 
MENDOZA AERO		23.6		2.8		2025-07-19 00:00:00
MENDOZA AERO		20.9		1.6		2025-07-18 00:00:00
MENDOZA AERO		18.8		0.7		2025-07-17 00:00:00
MENDOZA AERO		15.2		5.2		2025-07-16 00:00:00
MENDOZA AERO		19.8		5.7		2025-07-15 00:00:00
MENDOZA AERO		17.5		2.2		2025-07-14 00:00:00
MENDOZA AERO		14.2		4.2		2025-07-13 00:00:00
MENDOZA AERO		17.9		0.6		2025-07-12 00:00:00
MENDOZA AERO		17.7		0.6		2025-07-11 00:00:00
MENDOZA AERO		14.2		7.4		2025-07-10 00:00:00
MENDOZA AERO		14.8		8.6		2025-07-09 00:00:00
MENDOZA AERO		19.8		3.0		2025-07-08 00:00:00
MENDOZA AERO		18.8		4.0		2025-07-07 00:00:00
MENDOZA AERO		17.7		3.8		2025-07-06 00:00:00
MENDOZA AERO		16.4		2.8		2025-07-05 00:00:00
MENDOZA AERO		19.2		0.4		2025-07-04 00:00:00
MENDOZA AERO		13.2		-1.8		2025-07-03 00:00:00
MENDOZA AERO		10.8		-3.1		2025-07-02 00:00:00
MENDOZA AERO		8.2		-4.7		2025-07-01 00:00:00
MENDOZA AERO		5.3		-6.7		2025-06-30 00:00:00
MENDOZA AERO		4.6		-0.5		2025-06-29 00:00:00
MENDOZA AERO		12.2		-0.6		2025-06-28 00:00:00
MENDOZA AERO		14.1		-0.5		2025-06-27 00:00:00
MENDOZA AERO		15.4		0.7		2025-06-26 00:00:00
MENDOZA AERO		13.6		1.0		2025-06-25 00:00:00
MENDOZA AERO		15.7		-1.7		2025-06-24 00:00:00
MENDOZA AERO		12.2		-1.6		2025-06-23 00:00:00
MENDOZA AERO		17.9		4.8		2025-06-22 00:00:00
MENDOZA AERO		16.7		2.1		2025-06-21 00:00:00
MENDOZA AERO		19.4		2.0		2025-06-20 00:00:00
MENDOZA AERO		18.2		1.4		2025-06-19 00:00:00
MENDOZA AERO		16.7		2.2		2025-06-18 00:00:00
MENDOZA AERO		15.1		8.7		2025-06-17 00:00:00
MENDOZA AERO		18.8		5.1		2025-06-16 00:00:00
MENDOZA AERO		17.2		2.4		2025-06-15 00:00:00
MENDOZA AERO		15.8		3.8		2025-06-14 00:00:00
MENDOZA AERO		14.8		9.0		2025-06-13 00:00:00
MENDOZA AERO		16.2		4.7		2025-06-12 00:00:00
MENDOZA AERO		17.5		4.4		2025-06-11 00:00:00
MENDOZA AERO		18.4		3.0		2025-06-10 00:00:00
MENDOZA AERO		17.8		3.7		2025-06-09 00:00:00
MENDOZA AERO		17.4		5.4		2025-06-08 00:00:00
MENDOZA AERO		21.7		7.7		2025-06-07 00:00:00
MENDOZA AERO		19.2		5.2		2025-06-06 00:00:00
MENDOZA AERO		20.2		5.7		2025-06-05 00:00:00
MENDOZA AERO		23.5		4.8		2025-06-04 00:00:00
MENDOZA AERO		18.7		3.4		2025-06-03 00:00:00
MENDOZA AERO		19.2		4.0		2025-06-02 00:00:00
MENDOZA AERO		15.0		2.2		2025-06-01 00:00:00
MENDOZA AERO		15.3		3.2		2025-05-31 00:00:00
MENDOZA AERO		18.2		3.4		2025-05-30 00:00:00
MENDOZA AERO		16.2		3.2		2025-05-29 00:00:00
MENDOZA AERO		12.8		0.4		2025-05-28 00:00:00
MENDOZA AERO		14.0		4.4		2025-05-27 00:00:00
MENDOZA AERO		18.2		7.2		2025-05-26 00:00:00
MENDOZA AERO		20.6		5.7		2025-05-25 00:00:00
MENDOZA AERO		21.0		None		2025-05-24 00:00:00
MENDOZA AERO		17.6		None		2025-05-23 00:00:00
MENDOZA AERO		17.6		None		2025-05-22 00:00:00
MENDOZA AERO		20.2		5.2		2025-05-21 00:00:00
MENDOZA AERO		19.3		6.2		2025-05-20 00:00:00
MENDOZA AERO		19.1		7.8		2025-05-19 00:00:00
MENDOZA AERO		18.2		9.4		2025-05-18 00:00:00
MENDOZA AERO		27.4		10.4		2025-05-17 00:00:00
MENDOZA AERO		25.5		12.0		2025-05-16 00:00:00
MENDOZA AERO		25.2		9.8		2025-05-15 00:00:00
MENDOZA AERO		23.6		11.6		2025-05-14 00:00:00
MENDOZA AERO		22.8		9.4		2025-05-13 00:00:00
MENDOZA AERO		24.8		9.8		2025-05-12 00:00:00
MENDOZA AERO		24.4		10.0		2025-05-11 00:00:00
MENDOZA AERO		26.5		8.3		2025-05-10 00:00:00
MENDOZA AERO		23.5		7.0		2025-05-09 00:00:00
MENDOZA AERO		21.2		11.0		2025-05-08 00:00:00
MENDOZA AERO		22.4		13.0		2025-05-07 00:00:00
MENDOZA AERO		22.5		7.2		2025-05-06 00:00:00
MENDOZA AERO		20.4		12.8		2025-05-05 00:00:00
MENDOZA AERO		21.1		11.2		2025-05-04 00:00:00
MENDOZA AERO		25.2		10.8		2025-05-03 00:00:00
MENDOZA AERO		24.4		14.6		2025-05-02 00:00:00
MENDOZA AERO		25.2		9.2		2025-05-01 00:00:00
MENDOZA AERO		24.8		10.6		2025-04-30 00:00:00
MENDOZA AERO		25.2		8.9		2025-04-29 00:00:00
MENDOZA AERO		25.4		8.0		2025-04-28 00:00:00
MENDOZA AERO		23.2		6.2		2025-04-27 00:00:00
MENDOZA AERO		20.0		12.2		2025-04-26 00:00:00
MENDOZA AERO		25.6		11.2		2025-04-25 00:00:00
MENDOZA AERO		25.2		13.7		2025-04-24 00:00:00
MENDOZA AERO		25.7		11.8		2025-04-23 00:00:00
MENDOZA AERO		24.6		9.6		2025-04-22 00:00:00
MENDOZA AERO		23.6		8.6		2025-04-21 00:00:00
MENDOZA AERO		22.2		8.1		2025-04-20 00:00:00
MENDOZA AERO		18.2		13.6		2025-04-19 00:00:00
MENDOZA AERO		20.2		14.8		2025-04-18 00:00:00
MENDOZA AERO		24.8		14.4		2025-04-17 00:00:00
MENDOZA AERO		21.2		13.7		2025-04-16 00:00:00
MENDOZA AERO		19.8		14.7		2025-04-15 00:00:00
MENDOZA AERO		25.2		13.6		2025-04-14 00:00:00
MENDOZA AERO		24.1		8.1		2025-04-13 00:00:00
MENDOZA AERO		21.4		11.2		2025-04-12 00:00:00
MENDOZA AERO		21.2		12.7		2025-04-11 00:00:00
MENDOZA AERO		25.4		12.5		2025-04-10 00:00:00
MENDOZA AERO		25.2		14.2		2025-04-09 00:00:00
MENDOZA AERO		22.8		11.8		2025-04-08 00:00:00
MENDOZA AERO		24.2		10.2		2025-04-07 00:00:00
MENDOZA AERO		21.2		9.7		2025-04-06 00:00:00
MENDOZA AERO		19.6		6.7		2025-04-05 00:00:00
MENDOZA AERO		18.2		9.6		2025-04-04 00:00:00
MENDOZA AERO		22.2		13.2		2025-04-03 00:00:00
MENDOZA AERO		25.7		7.9		2025-04-02 00:00:00
MENDOZA AERO		23.5		7.7		2025-04-01 00:00:00
MENDOZA AERO		20.4		12.2		2025-03-31 00:00:00
MENDOZA AERO		28.0		17.4		2025-03-30 00:00:00
MENDOZA AERO		26.7		18.2		2025-03-29 00:00:00
MENDOZA AERO		21.7		14.7		2025-03-28 00:00:00
MENDOZA AERO		26.4		12.4		2025-03-27 00:00:00
MENDOZA AERO		26.7		11.1		2025-03-26 00:00:00
MENDOZA AERO		18.2		11.0		2025-03-25 00:00:00
MENDOZA AERO		16.5		8.4		2025-03-24 00:00:00
MENDOZA AERO		22.1		9.7		2025-03-23 00:00:00
MENDOZA AERO		31.4		18.4		2025-03-22 00:00:00
MENDOZA AERO		32.8		17.7		2025-03-21 00:00:00
MENDOZA AERO		30.0		21.8		2025-03-20 00:00:00
MENDOZA AERO		33.6		17.4		2025-03-19 00:00:00
MENDOZA AERO		31.8		17.4		2025-03-18 00:00:00
MENDOZA AERO		32.7		17.3		2025-03-17 00:00:00
MENDOZA AERO		30.2		17.2		2025-03-16 00:00:00
MENDOZA AERO		27.2		15.4		2025-03-15 00:00:00
MENDOZA AERO		25.3		16.2		2025-03-14 00:00:00
MENDOZA AERO		25.8		11.4		2025-03-13 00:00:00
MENDOZA AERO		22.2		14.4		2025-03-12 00:00:00
MENDOZA AERO		25.2		16.6		2025-03-11 00:00:00
MENDOZA AERO		30.6		12.7		2025-03-10 00:00:00
MENDOZA AERO		26.0		13.2		2025-03-09 00:00:00
MENDOZA AERO		25.4		15.9		2025-03-08 00:00:00
MENDOZA AERO		32.0		21.2		2025-03-07 00:00:00
MENDOZA AERO		29.0		20.0		2025-03-06 00:00:00
MENDOZA AERO		33.2		23.5		2025-03-05 00:00:00
MENDOZA AERO		31.7		21.6		2025-03-04 00:00:00
MENDOZA AERO		32.6		21.7		2025-03-03 00:00:00
MENDOZA AERO		33.2		21.5		2025-03-02 00:00:00
MENDOZA AERO		30.7		20.0		2025-03-01 00:00:00
MENDOZA AERO		28.2		19.2		2025-02-28 00:00:00
MENDOZA AERO		30.9		22.2		2025-02-27 00:00:00
MENDOZA AERO		35.0		22.5		2025-02-26 00:00:00
MENDOZA AERO		29.9		24.5		2025-02-25 00:00:00
MENDOZA AERO		None		27.0		2025-02-24 00:00:00
MENDOZA AERO		None		26.6		2025-02-23 00:00:00
MENDOZA AERO		None		25.2		2025-02-22 00:00:00
MENDOZA AERO		None		23.2		2025-02-21 00:00:00
MENDOZA AERO		None		21.6		2025-02-20 00:00:00
MENDOZA AERO		None		17.9		2025-02-19 00:00:00
MENDOZA AERO		None		17.0		2025-02-18 00:00:00
MENDOZA AERO		None		23.0		2025-02-17 00:00:00
MENDOZA AERO		None		23.8		2025-02-16 00:00:00
MENDOZA AERO		None		21.9		2025-02-15 00:00:00
MENDOZA AERO		None		23.3		2025-02-14 00:00:00
MENDOZA AERO		None		19.2		2025-02-13 00:00:00
MENDOZA AERO		None		19.8		2025-02-12 00:00:00
MENDOZA AERO		None		22.8		2025-02-11 00:00:00
MENDOZA AERO		None		24.2		2025-02-10 00:00:00
MENDOZA AERO		None		24.7		2025-02-09 00:00:00
MENDOZA AERO		None		26.7		2025-02-08 00:00:00
MENDOZA AERO		None		25.7		2025-02-07 00:00:00
MENDOZA AERO		None		22.2		2025-02-06 00:00:00
MENDOZA AERO		None		19.8		2025-02-05 00:00:00
MENDOZA AERO		None		22.7		2025-02-04 00:00:00
MENDOZA AERO		None		25.0		2025-02-03 00:00:00
MENDOZA AERO		None		24.6		2025-02-02 00:00:00
MENDOZA AERO		None		24.7		2025-02-01 00:00:00
MENDOZA AERO		None		23.0		2025-01-31 00:00:00
MENDOZA AERO		None		22.4		2025-01-30 00:00:00
MENDOZA AERO		None		19.2		2025-01-29 00:00:00
MENDOZA AERO		None		21.2		2025-01-28 00:00:00
MENDOZA AERO		None		21.4		2025-01-27 00:00:00
MENDOZA AERO		None		22.2		2025-01-26 00:00:00
MENDOZA AERO		None		22.0		2025-01-25 00:00:00
MENDOZA AERO		None		22.2		2025-01-24 00:00:00
MENDOZA AERO		None		22.2		2025-01-23 00:00:00
MENDOZA AERO		None		19.8		2025-01-22 00:00:00
MENDOZA AERO		None		19.1		2025-01-21 00:00:00
MENDOZA AERO		None		17.2		2025-01-20 00:00:00
MENDOZA AERO		None		15.8		2025-01-19 00:00:00
MENDOZA AERO		None		21.4		2025-01-18 00:00:00
MENDOZA AERO		None		19.8		2025-01-17 00:00:00
MENDOZA AERO		None		24.6		2025-01-16 00:00:00
MENDOZA AERO		None		27.7		2025-01-15 00:00:00
MENDOZA AERO		None		23.4		2025-01-14 00:00:00
MENDOZA AERO		None		21.4		2025-01-13 00:00:00
MENDOZA AERO		None		19.6		2025-01-12 00:00:00
MENDOZA AERO		None		21.6		2025-01-11 00:00:00
MENDOZA AERO		None		21.5		2025-01-10 00:00:00
MENDOZA AERO		None		19.4		2025-01-09 00:00:00
MENDOZA AERO		None		20.2		2025-01-08 00:00:00
MENDOZA AERO		None		19.4		2025-01-07 00:00:00
MENDOZA AERO		None		23.7		2025-01-06 00:00:00
MENDOZA AERO		None		23.4		2025-01-05 00:00:00
MENDOZA AERO		None		24.0		2025-01-04 00:00:00
MENDOZA AERO		None		21.2		2025-01-03 00:00:00
MENDOZA AERO		None		23.2		2025-01-02 00:00:00
MENDOZA AERO		None		23.6		2025-01-01 00:00:00
MENDOZA AERO		None		23.4		2024-12-31 00:00:00
MENDOZA AERO		None		19.1		2024-12-30 00:00:00
MENDOZA AERO		None		20.6		2024-12-29 00:00:00
MENDOZA AERO		None		22.7		2024-12-28 00:00:00
MENDOZA AERO		None		21.2		2024-12-27 00:00:00
MENDOZA AERO		None		18.5		2024-12-26 00:00:00
MENDOZA AERO		None		17.4		2024-12-25 00:00:00
MENDOZA AERO		None		23.6		2024-12-24 00:00:00
MENDOZA AERO		None		23.0		2024-12-23 00:00:00
MENDOZA AERO		None		19.6		2024-12-22 00:00:00
MENDOZA AERO		None		18.7		2024-12-21 00:00:00
MENDOZA AERO		None		23.0		2024-12-20 00:00:00
MENDOZA AERO		None		18.4		2024-12-19 00:00:00
MENDOZA AERO		None		15.2		2024-12-18 00:00:00
MENDOZA AERO		None		21.4		2024-12-17 00:00:00
MENDOZA AERO		None		22.8		2024-12-16 00:00:00
MENDOZA AERO		None		23.4		2024-12-15 00:00:00
MENDOZA AERO		None		21.0		2024-12-14 00:00:00
MENDOZA AERO		None		15.8		2024-12-13 00:00:00
MENDOZA AERO		None		19.6		2024-12-12 00:00:00
MENDOZA AERO		None		21.7		2024-12-11 00:00:00
MENDOZA AERO		None		18.2		2024-12-10 00:00:00
MENDOZA AERO		None		16.2		2024-12-09 00:00:00
MENDOZA AERO		None		14.0		2024-12-08 00:00:00
MENDOZA AERO		None		12.6		2024-12-07 00:00:00
MENDOZA AERO		None		18.4		2024-12-06 00:00:00
MENDOZA AERO		None		20.1		2024-12-05 00:00:00
MENDOZA AERO		None		16.7		2024-12-04 00:00:00
MENDOZA AERO		None		15.2		2024-12-03 00:00:00
MENDOZA AERO		26.6		15.7		2024-12-02 00:00:00
MENDOZA AERO		27.6		17.0		2024-12-01 00:00:00
MENDOZA AERO		31.5		15.6		2024-11-30 00:00:00
MENDOZA AERO		27.5		18.2		2024-11-29 00:00:00
MENDOZA AERO		28.2		17.7		2024-11-28 00:00:00
MENDOZA AERO		27.5		19.2		2024-11-27 00:00:00
MENDOZA AERO		28.0		18.5		2024-11-26 00:00:00
MENDOZA AERO		31.0		22.2		2024-11-25 00:00:00
MENDOZA AERO		32.1		23.2		2024-11-24 00:00:00
MENDOZA AERO		30.8		21.4		2024-11-23 00:00:00
MENDOZA AERO		34.8		21.0		2024-11-22 00:00:00
MENDOZA AERO		30.5		16.8		2024-11-21 00:00:00
MENDOZA AERO		27.3		18.5		2024-11-20 00:00:00
MENDOZA AERO		29.4		14.2		2024-11-19 00:00:00
MENDOZA AERO		25.7		12.2		2024-11-18 00:00:00
MENDOZA AERO		23.1		14.7		2024-11-17 00:00:00
MENDOZA AERO		32.6		18.8		2024-11-16 00:00:00
MENDOZA AERO		36.6		20.0		2024-11-15 00:00:00
MENDOZA AERO		34.0		20.4		2024-11-14 00:00:00
MENDOZA AERO		34.0		18.0		2024-11-13 00:00:00
MENDOZA AERO		31.0		14.5		2024-11-12 00:00:00
MENDOZA AERO		25.3		13.8		2024-11-11 00:00:00
MENDOZA AERO		29.8		18.8		2024-11-10 00:00:00
MENDOZA AERO		35.5		18.6		2024-11-09 00:00:00
MENDOZA AERO		30.7		16.2		2024-11-08 00:00:00
MENDOZA AERO		27.0		16.8		2024-11-07 00:00:00
MENDOZA AERO		28.0		17.8		2024-11-06 00:00:00
MENDOZA AERO		29.5		15.9		2024-11-05 00:00:00
MENDOZA AERO		26.7		17.5		2024-11-04 00:00:00
MENDOZA AERO		29.5		13.2		2024-11-03 00:00:00
MENDOZA AERO		31.1		17.8		2024-11-02 00:00:00
MENDOZA AERO		35.6		18.8		2024-11-01 00:00:00
MENDOZA AERO		32.4		23.8		2024-10-31 00:00:00
MENDOZA AERO		36.6		20.2		2024-10-30 00:00:00
MENDOZA AERO		35.4		17.4		2024-10-29 00:00:00
MENDOZA AERO		33.4		16.2		2024-10-28 00:00:00
MENDOZA AERO		31.5		13.4		2024-10-27 00:00:00
MENDOZA AERO		26.7		10.6		2024-10-26 00:00:00
MENDOZA AERO		22.9		13.0		2024-10-25 00:00:00
MENDOZA AERO		28.5		12.0		2024-10-24 00:00:00
MENDOZA AERO		22.6		12.7		2024-10-23 00:00:00
MENDOZA AERO		21.8		15.0		2024-10-22 00:00:00
MENDOZA AERO		26.8		17.6		2024-10-21 00:00:00
MENDOZA AERO		37.4		18.2		2024-10-20 00:00:00
MENDOZA AERO		34.0		17.3		2024-10-19 00:00:00
MENDOZA AERO		30.4		13.3		2024-10-18 00:00:00
MENDOZA AERO		27.6		16.7		2024-10-17 00:00:00
MENDOZA AERO		30.6		15.8		2024-10-16 00:00:00
MENDOZA AERO		27.6		16.2		2024-10-15 00:00:00
MENDOZA AERO		27.0		14.7		2024-10-14 00:00:00
MENDOZA AERO		26.0		12.8		2024-10-13 00:00:00
MENDOZA AERO		22.4		14.2		2024-10-12 00:00:00
MENDOZA AERO		25.0		12.7		2024-10-11 00:00:00
MENDOZA AERO		24.0		9.7		2024-10-10 00:00:00
MENDOZA AERO		17.0		11.0		2024-10-09 00:00:00
MENDOZA AERO		16.4		12.3		2024-10-08 00:00:00
MENDOZA AERO		23.6		14.7		2024-10-07 00:00:00
MENDOZA AERO		27.1		15.7		2024-10-06 00:00:00
MENDOZA AERO		29.8		14.2		2024-10-05 00:00:00
MENDOZA AERO		28.3		8.2		2024-10-04 00:00:00
MENDOZA AERO		23.6		7.0		2024-10-03 00:00:00
MENDOZA AERO		17.8		10.3		2024-10-02 00:00:00
MENDOZA AERO		26.8		11.7		2024-10-01 00:00:00
MENDOZA AERO		30.8		16.2		2024-09-30 00:00:00
MENDOZA AERO		32.1		11.7		2024-09-29 00:00:00
MENDOZA AERO		28.0		13.8		2024-09-28 00:00:00
MENDOZA AERO		27.2		6.2		2024-09-27 00:00:00
MENDOZA AERO		22.0		4.9		2024-09-26 00:00:00
MENDOZA AERO		19.5		11.2		2024-09-25 00:00:00
MENDOZA AERO		25.0		10.0		2024-09-24 00:00:00
MENDOZA AERO		24.6		11.8		2024-09-23 00:00:00
MENDOZA AERO		28.3		14.9		2024-09-22 00:00:00
MENDOZA AERO		33.0		9.2		2024-09-21 00:00:00
MENDOZA AERO		25.0		11.4		2024-09-20 00:00:00
MENDOZA AERO		28.8		19.2		2024-09-19 00:00:00
MENDOZA AERO		28.5		10.6		2024-09-18 00:00:00
MENDOZA AERO		28.4		13.0		2024-09-17 00:00:00
MENDOZA AERO		27.0		10.4		2024-09-16 00:00:00
MENDOZA AERO		26.0		8.5		2024-09-15 00:00:00
MENDOZA AERO		22.6		7.4		2024-09-14 00:00:00
MENDOZA AERO		21.0		10.7		2024-09-13 00:00:00
MENDOZA AERO		23.2		6.8		2024-09-12 00:00:00
MENDOZA AERO		20.2		9.8		2024-09-11 00:00:00
MENDOZA AERO		22.5		9.6		2024-09-10 00:00:00
MENDOZA AERO		25.2		8.7		2024-09-09 00:00:00
MENDOZA AERO		22.9		8.4		2024-09-08 00:00:00
MENDOZA AERO		21.8		8.0		2024-09-07 00:00:00
MENDOZA AERO		21.8		9.8		2024-09-06 00:00:00
MENDOZA AERO		24.0		5.2		2024-09-05 00:00:00
MENDOZA AERO		21.0		5.8		2024-09-04 00:00:00
MENDOZA AERO		20.2		7.6		2024-09-03 00:00:00
MENDOZA AERO		34.3		5.6		2024-09-02 00:00:00
MENDOZA AERO		22.5		4.2		2024-09-01 00:00:00
MENDOZA AERO		16.6		7.6		2024-08-31 00:00:00
MENDOZA AERO		14.0		8.5		2024-08-30 00:00:00
MENDOZA AERO		16.2		11.2		2024-08-29 00:00:00
MENDOZA AERO		20.0		5.2		2024-08-28 00:00:00
MENDOZA AERO		19.6		4.8		2024-08-27 00:00:00
MENDOZA AERO		21.0		3.7		2024-08-26 00:00:00
MENDOZA AERO		17.6		-0.8		2024-08-25 00:00:00
MENDOZA AERO		13.0		3.6		2024-08-24 00:00:00
MENDOZA AERO		14.9		1.4		2024-08-23 00:00:00
MENDOZA AERO		11.6		2.7		2024-08-22 00:00:00
MENDOZA AERO		7.0		3.6		2024-08-21 00:00:00
MENDOZA AERO		8.6		4.8		2024-08-20 00:00:00
MENDOZA AERO		9.8		6.3		2024-08-19 00:00:00
MENDOZA AERO		11.9		8.3		2024-08-18 00:00:00
MENDOZA OBSERVATORIO		None		3.4		2025-08-17 00:00:00
MENDOZA OBSERVATORIO		None		4.5		2025-08-16 00:00:00
MENDOZA OBSERVATORIO		None		8.9		2025-08-15 00:00:00
MENDOZA OBSERVATORIO		None		6.0		2025-08-14 00:00:00
MENDOZA OBSERVATORIO		None		10.0		2025-08-13 00:00:00
MENDOZA OBSERVATORIO		None		7.2		2025-08-12 00:00:00
MENDOZA OBSERVATORIO		None		7.0		2025-08-11 00:00:00
MENDOZA OBSERVATORIO		None		6.0		2025-08-10 00:00:00
MENDOZA OBSERVATORIO		None		3.5		2025-08-09 00:00:00
MENDOZA OBSERVATORIO		None		4.5		2025-08-08 00:00:00
MENDOZA OBSERVATORIO		None		7.3		2025-08-07 00:00:00
MENDOZA OBSERVATORIO		None		4.2		2025-08-06 00:00:00
MENDOZA OBSERVATORIO		None		1.4		2025-08-05 00:00:00
MENDOZA OBSERVATORIO		None		3.2		2025-08-04 00:00:00
MENDOZA OBSERVATORIO		None		6.4		2025-08-03 00:00:00
MENDOZA OBSERVATORIO		None		4.5		2025-08-02 00:00:00
MENDOZA OBSERVATORIO		None		7.8		2025-08-01 00:00:00
MENDOZA OBSERVATORIO		None		5.3		2025-07-31 00:00:00
MENDOZA OBSERVATORIO		None		3.5		2025-07-30 00:00:00
MENDOZA OBSERVATORIO		None		0.3		2025-07-29 00:00:00
MENDOZA OBSERVATORIO		None		3.4		2025-07-28 00:00:00
MENDOZA OBSERVATORIO		None		2.3		2025-07-27 00:00:00
MENDOZA OBSERVATORIO		None		4.1		2025-07-26 00:00:00
MENDOZA OBSERVATORIO		None		1.6		2025-07-25 00:00:00
MENDOZA OBSERVATORIO		None		0.2		2025-07-24 00:00:00
MENDOZA OBSERVATORIO		None		5.8		2025-07-23 00:00:00
MENDOZA OBSERVATORIO		None		6.5		2025-07-22 00:00:00
MENDOZA OBSERVATORIO		None		4.5		2025-07-21 00:00:00
MENDOZA OBSERVATORIO		None		5.8		2025-07-20 00:00:00
MENDOZA OBSERVATORIO		None		4.5		2025-07-19 00:00:00
MENDOZA OBSERVATORIO		None		3.0		2025-07-18 00:00:00
MENDOZA OBSERVATORIO		None		1.6		2025-07-17 00:00:00
MENDOZA OBSERVATORIO		None		2.2		2025-07-16 00:00:00
MENDOZA OBSERVATORIO		None		5.5		2025-07-15 00:00:00
MENDOZA OBSERVATORIO		None		3.4		2025-07-14 00:00:00
MENDOZA OBSERVATORIO		None		2.0		2025-07-13 00:00:00
MENDOZA OBSERVATORIO		None		3.3		2025-07-12 00:00:00
MENDOZA OBSERVATORIO		None		2.0		2025-07-11 00:00:00
MENDOZA OBSERVATORIO		None		5.3		2025-07-10 00:00:00
MENDOZA OBSERVATORIO		None		7.8		2025-07-09 00:00:00
MENDOZA OBSERVATORIO		None		4.7		2025-07-08 00:00:00
MENDOZA OBSERVATORIO		None		4.0		2025-07-07 00:00:00
MENDOZA OBSERVATORIO		None		3.6		2025-07-06 00:00:00
MENDOZA OBSERVATORIO		None		3.6		2025-07-05 00:00:00
MENDOZA OBSERVATORIO		None		2.0		2025-07-04 00:00:00
MENDOZA OBSERVATORIO		None		-1.2		2025-07-03 00:00:00
MENDOZA OBSERVATORIO		None		-2.4		2025-07-02 00:00:00
MENDOZA OBSERVATORIO		None		-6.0		2025-07-01 00:00:00
MENDOZA OBSERVATORIO		None		-5.5		2025-06-30 00:00:00
MENDOZA OBSERVATORIO		None		-1.0		2025-06-29 00:00:00
MENDOZA OBSERVATORIO		None		-0.8		2025-06-28 00:00:00
MENDOZA OBSERVATORIO		None		0.2		2025-06-27 00:00:00
MENDOZA OBSERVATORIO		None		-0.2		2025-06-26 00:00:00
MENDOZA OBSERVATORIO		None		3.7		2025-06-25 00:00:00
MENDOZA OBSERVATORIO		None		-1.5		2025-06-24 00:00:00
MENDOZA OBSERVATORIO		None		-2.8		2025-06-23 00:00:00
MENDOZA OBSERVATORIO		None		4.2		2025-06-22 00:00:00
MENDOZA OBSERVATORIO		None		4.0		2025-06-21 00:00:00
MENDOZA OBSERVATORIO		None		4.4		2025-06-20 00:00:00
MENDOZA OBSERVATORIO		None		3.0		2025-06-19 00:00:00
MENDOZA OBSERVATORIO		None		3.6		2025-06-18 00:00:00
MENDOZA OBSERVATORIO		None		6.7		2025-06-17 00:00:00
MENDOZA OBSERVATORIO		None		4.5		2025-06-16 00:00:00
MENDOZA OBSERVATORIO		None		2.0		2025-06-15 00:00:00
MENDOZA OBSERVATORIO		None		2.5		2025-06-14 00:00:00
MENDOZA OBSERVATORIO		None		7.6		2025-06-13 00:00:00
MENDOZA OBSERVATORIO		None		4.0		2025-06-12 00:00:00
MENDOZA OBSERVATORIO		None		4.1		2025-06-11 00:00:00
MENDOZA OBSERVATORIO		None		4.8		2025-06-10 00:00:00
MENDOZA OBSERVATORIO		None		3.5		2025-06-09 00:00:00
MENDOZA OBSERVATORIO		None		5.6		2025-06-08 00:00:00
MENDOZA OBSERVATORIO		None		8.8		2025-06-07 00:00:00
MENDOZA OBSERVATORIO		None		7.4		2025-06-06 00:00:00
MENDOZA OBSERVATORIO		None		6.0		2025-06-05 00:00:00
MENDOZA OBSERVATORIO		None		6.7		2025-06-04 00:00:00
MENDOZA OBSERVATORIO		None		4.6		2025-06-03 00:00:00
MENDOZA OBSERVATORIO		None		4.9		2025-06-02 00:00:00
MENDOZA OBSERVATORIO		None		3.0		2025-06-01 00:00:00
MENDOZA OBSERVATORIO		None		4.1		2025-05-31 00:00:00
MENDOZA OBSERVATORIO		None		3.4		2025-05-30 00:00:00
MENDOZA OBSERVATORIO		None		2.5		2025-05-29 00:00:00
MENDOZA OBSERVATORIO		None		0.4		2025-05-28 00:00:00
MENDOZA OBSERVATORIO		None		2.5		2025-05-27 00:00:00
MENDOZA OBSERVATORIO		None		7.4		2025-05-26 00:00:00
MENDOZA OBSERVATORIO		None		6.6		2025-05-25 00:00:00
MENDOZA OBSERVATORIO		None		7.3		2025-05-24 00:00:00
MENDOZA OBSERVATORIO		None		4.6		2025-05-23 00:00:00
MENDOZA OBSERVATORIO		None		5.2		2025-05-22 00:00:00
MENDOZA OBSERVATORIO		None		6.5		2025-05-21 00:00:00
MENDOZA OBSERVATORIO		None		5.0		2025-05-20 00:00:00
MENDOZA OBSERVATORIO		None		6.5		2025-05-19 00:00:00
MENDOZA OBSERVATORIO		None		6.4		2025-05-18 00:00:00
MENDOZA OBSERVATORIO		None		11.0		2025-05-17 00:00:00
MENDOZA OBSERVATORIO		None		12.0		2025-05-16 00:00:00
MENDOZA OBSERVATORIO		None		10.4		2025-05-15 00:00:00
MENDOZA OBSERVATORIO		None		12.2		2025-05-14 00:00:00
MENDOZA OBSERVATORIO		None		9.1		2025-05-13 00:00:00
MENDOZA OBSERVATORIO		None		11.4		2025-05-12 00:00:00
MENDOZA OBSERVATORIO		None		8.9		2025-05-11 00:00:00
MENDOZA OBSERVATORIO		None		9.4		2025-05-10 00:00:00
MENDOZA OBSERVATORIO		None		7.1		2025-05-09 00:00:00
MENDOZA OBSERVATORIO		None		11.3		2025-05-08 00:00:00
MENDOZA OBSERVATORIO		None		12.6		2025-05-07 00:00:00
MENDOZA OBSERVATORIO		None		7.8		2025-05-06 00:00:00
MENDOZA OBSERVATORIO		None		11.5		2025-05-05 00:00:00
